Row_ID,Treaty,provision,actorholder,action,actoraffected,treatytext
NAGOYA_M045,Nagoya,"Nagoya, Article 15(1)",Contracting Party,"Duty: Shall take appropriate, effective and proportionate measures to ensure GR utilized within its jurisdiction have been accessed with PIC and that MAT have been established, as required by provider Party domestic law.",Resource-Providing Party,"Each Party shall take appropriate, effective and proportionate legislative, administrative or policy measures to provide that genetic resources utilized within its jurisdiction have been accessed in accordance with prior informed consent and that mutually agreed terms have been established, as required by the domestic access and benefit-sharing legislation or regulatory requirements of the other Party."
NAGOYA_M046,Nagoya,"Nagoya, Article 15(2)",Contracting Party,"Duty: Shall take appropriate, effective and proportionate measures to address situations of non-compliance with measures adopted under Article 15(1).",Resource-Providing Party,"Parties shall take appropriate, effective and proportionate measures to address situations of non-compliance with measures adopted in accordance with paragraph 1 above."
NAGOYA_M047,Nagoya,"Nagoya, Article 15(3)",Contracting Party,"Duty: Shall, as far as possible and as appropriate, cooperate in cases of alleged violation of provider Party domestic ABS legislation or regulatory requirements.",Other Contracting Parties,"Parties shall, as far as possible and as appropriate, cooperate in cases of alleged violation of domestic access and benefit-sharing legislation or regulatory requirements referred to in paragraph 1 above."
NAGOYA_M048,Nagoya,"Nagoya, Article 16(1)",Contracting Party,"Duty: Shall take appropriate, effective and proportionate measures to ensure TK utilization within its jurisdiction is subject to IPLC PIC/approval and involvement and MAT, as required by provider Party domestic law.",IPLCs,"Each Party shall take appropriate, effective and proportionate legislative, administrative or policy measures, as appropriate, to provide that traditional knowledge associated with genetic resources utilized within their jurisdiction has been accessed in accordance with prior informed consent or approval and involvement of indigenous and local communities and that mutually agreed terms have been established, as required by domestic access and benefit-sharing legislation or regulatory requirements of the other Party where such indigenous and local communities are located."
NAGOYA_M051,Nagoya,"Nagoya, Article 17(1)(a)",Contracting Party,"Duty: Shall designate one or more effective checkpoints to collect/receive relevant PIC, source and MAT information and (without prejudice to confidentiality) provide it to relevant national authorities, the providing Party and the ABS Clearing-House.",Clearing-House; Resource-Providing Party,"To support compliance, each Party shall take measures, as appropriate, to monitor and to enhance transparency about the utilization of genetic resources. Such measures shall include: (a) The designation of one or more checkpoints, as follows: (i) Designated checkpoints would collect or receive, as appropriate, relevant information related to prior informed consent, to the source of the genetic resource, to the establishment of mutually agreed terms, and/or to the utilization of genetic resources, as appropriate; (ii) Each Party shall, as appropriate and depending on the particular characteristics of a designated checkpoint, require users of genetic resources to provide the information specified in the above paragraph at a designated checkpoint. Each Party shall take appropriate, effective and proportionate measures to address situations of non-compliance; (iii) Such information, including from internationally recognized certificates of compliance where they are available, will, without prejudice to the protection of confidential information, be provided to relevant national authorities, to the Party providing prior informed consent and to the Access and Benefit-sharing Clearing-House, as appropriate; (iv) Checkpoints must be effective and should have functions relevant to implementation of this subparagraph (a). They should be relevant to the utilization of genetic resources, or to the collection of relevant information at, inter alia, any stage of research, development, innovation, pre-commercialization or commercialization."
NAGOYA_M052,Nagoya,"Nagoya, Article 17(1)(b)",Contracting Party,"Duty: Shall encourage inclusion in MAT of provisions to share information on implementation, including through reporting requirements.",Resource Users; Resource-Providing Party,"To support compliance, each Party shall take measures, as appropriate, to monitor and to enhance transparency about the utilization of genetic resources. Such measures shall include: ... (b) Encouraging users and providers of genetic resources to include provisions in mutually agreed terms to share information on the implementation of such terms, including through reporting requirements;"
NAGOYA_M053,Nagoya,"Nagoya, Article 17(1)(c)",Contracting Party,Duty: Shall encourage the use of cost-effective communication tools and systems.,Stakeholders,"To support compliance, each Party shall take measures, as appropriate, to monitor and to enhance transparency about the utilization of genetic resources. Such measures shall include: ... (c) Encouraging the use of cost-effective communication tools and systems."
NAGOYA_M054,Nagoya,"Nagoya, Article 18(1)",Contracting Party,"Duty: Shall encourage providers and users to include in MAT appropriate dispute resolution provisions (jurisdiction, applicable law, and/or ADR).",Resource Users; Resource-Providing Party,"In the implementation of Article 6, paragraph 3 (g) (i) and Article 7, each Party shall encourage providers and users of genetic resources and/or traditional knowledge associated with genetic resources to include provisions in mutually agreed terms to cover, where appropriate, dispute resolution including: (a) The jurisdiction to which they will subject any dispute resolution processes; (b) The applicable law; and/or (c) Options for alternative dispute resolution, such as mediation or arbitration."
NAGOYA_M055,Nagoya,"Nagoya, Article 18(2)",Contracting Party,Duty: Shall ensure an opportunity to seek recourse is available under domestic legal systems for disputes arising from MAT.,Disputing Parties,"Each Party shall ensure that an opportunity to seek recourse is available under their legal systems, consistent with applicable jurisdictional requirements, in cases of disputes arising from mutually agreed terms."
NAGOYA_M056,Nagoya,"Nagoya, Article 18(3)",Contracting Party,Duty: Shall take effective measures on access to justice and on mechanisms for mutual recognition and enforcement of foreign judgments and arbitral awards.,Disputing Parties,"Each Party shall take effective measures, as appropriate, regarding: (a) Access to justice; and (b) The utilization of mechanisms regarding mutual recognition and enforcement of foreign judgments and arbitral awards."
CBD_M019,CBD,"CBD, Article 8(j)",Contracting Party,"Duty: Shall respect, preserve and maintain TK, innovations and practices of IPLCs relevant for conservation and sustainable use, promote wider application with approval and involvement, and encourage equitable benefit-sharing.",IPLCs,"“(j) Subject to its national legislation, respect, preserve and maintain knowledge, innovations and practices of indigenous and local communities embodying traditional lifestyles relevant for the conservation and sustainable use of biological diversity and promote their wider application with the approval and involvement of the holders of such knowledge, innovations and practices and encourage the equitable sharing of the benefits arising from the utilization of such knowledge, innovations and practices”"
CBD_M044,CBD,"CBD, Article 15(1)",Contracting Party,"Power: Determine access to genetic resources, subject to national legislation (recognizing sovereign rights).",Resource Users,"“1. Recognizing the sovereign rights of States over their natural resources, the authority to determine access to genetic resources rests with the national governments and is subject to national legislation.”"
CBD_M046,CBD,"CBD, Article 15(4)",Contracting Party,"Duty: Ensure that access, where granted, is on mutually agreed terms.",Receiving Party,"“4. Access, where granted, shall be on mutually agreed terms.”"
CBD_M047,CBD,"CBD, Article 15(5)",Resource-Providing Party,Power: May grant or withhold prior informed consent for access to genetic resources (unless otherwise determined).,Receiving Party,"“5. Access to genetic resources shall be subject to prior informed consent of the Contracting Party providing such resources, unless otherwise determined by that Party.”"
CBD_M049,CBD,"CBD, Article 15(7)",Contracting Party,"Duty: Take measures to ensure fair and equitable sharing of R&D results and benefits arising from utilization of genetic resources with the providing Party, upon mutually agreed terms.",Resource-Providing Party,"“7. Each Contracting Party shall take legislative, administrative or policy measures, as appropriate, with the aim of sharing in a fair and equitable way the results of research and development and the benefits arising from the commercial and other utilization of genetic resources with the Contracting Party providing such resources. Such sharing shall be upon mutually agreed terms.”"
BBNJ_M021,BBNJ,"BBNJ, Article 12(1)",Contracting Party,Duty: Must take measures to ensure information is notified to the Clearing-House Mechanism in accordance with this Part.,Clearing-House,"“Parties shall take the necessary legislative, administrative or policy measures to ensure that information is notified to the Clearing-House Mechanism in accordance with this Part.”"
BBNJ_M022,BBNJ,"BBNJ, Article 12(2)(a)",Contracting Party,Duty: Must notify the nature and objectives of planned in situ collection (and any programme(s) it forms part of).,Clearing-House,"“(a) The nature and objectives under which the collection is carried out, including, as appropriate, any programme(s) of which it forms part;”"
BBNJ_M023,BBNJ,"BBNJ, Article 12(2)(b)",Contracting Party,"Duty: Must notify the research subject matter or, if known, targeted MGR and the purposes for collection.",Clearing-House,"“(b) The subject matter of the research or, if known, the marine genetic resources to be targeted or collected, and the purposes for which such resources will be collected;”"
BBNJ_M024,BBNJ,"BBNJ, Article 12(2)(c)",Contracting Party,Duty: Must notify the geographical areas of collection.,Clearing-House,“(c) The geographical areas in which the collection is to be undertaken;”
BBNJ_M025,BBNJ,"BBNJ, Article 12(2)(d)",Contracting Party,"Duty: Must notify a summary of methods/means, including vessel name/tonnage/type/class and equipment/study methods.",Clearing-House,"“(d) A summary of the method and means to be used for collection, including the name, tonnage, type and class of vessels, scientific equipment and/or study methods employed;”"
BBNJ_M026,BBNJ,"BBNJ, Article 12(2)(e)",Contracting Party,Duty: Must notify information on other contributions to proposed major programmes.,Clearing-House,“(e) Information concerning any other contributions to proposed major programmes;”
BBNJ_M027,BBNJ,"BBNJ, Article 12(2)(f)",Contracting Party,"Duty: Must notify expected dates of first appearance and final departure of research vessels, or equipment deployment/removal.",Clearing-House,"“(f) The expected date of first appearance and final departure of the research vessels, or deployment of the equipment and its removal, as appropriate;”"
BBNJ_M028,BBNJ,"BBNJ, Article 12(2)(g)",Contracting Party,Duty: Must notify sponsoring institution(s) and person in charge.,Clearing-House,“(g) The name(s) of the sponsoring institution(s) and the person in charge of the project;”
BBNJ_M029,BBNJ,"BBNJ, Article 12(2)(h)",Contracting Party,"Duty: Must notify opportunities for scientists of all States, in particular from developing States, to be involved or associated.",Clearing-House,"“(h) Opportunities for scientists of all States, in particular scientists from developing States, to be involved in or associated with the project;”"
BBNJ_M030,BBNJ,"BBNJ, Article 12(2)(i)",Contracting Party,Duty: Must notify how States needing/requesting technical assistance (in particular developing States) can participate or be represented.,Clearing-House,"“(i) The extent to which it is considered that States that may need and request technical assistance, in particular developing States, should be able to participate or to be represented in the project;”"
BBNJ_M031,BBNJ,"BBNJ, Article 12(2)(j)",Contracting Party,"Duty: Must notify a data management plan prepared according to open and responsible data governance, taking into account current international practice.",Clearing-House,"“(j) A data management plan prepared according to open and responsible data governance, taking into account current international practice.”"
BBNJ_M032,BBNJ,"BBNJ, Article 12(3)",Clearing-House,Duty: Must automatically generate a “BBNJ” standardized batch identifier upon receipt of the prior notification.,Contracting Party,"“Upon notification referred to in paragraph 2 above, the Clearing-House Mechanism shall automatically generate a ‘BBNJ’ standardized batch identifier.”"
BBNJ_M033,BBNJ,"BBNJ, Article 12(4)",Contracting Party,"Duty: Must notify updated information upon material change prior to collection, within a reasonable period and no later than the start of collection in situ, when practicable.",Clearing-House,"“Where there is a material change to the information provided to the Clearing-House Mechanism prior to the planned collection, updated information shall be notified to the Clearing-House Mechanism within a reasonable period of time and no later than the start of collection in situ, when practicable.”"
BBNJ_M035,BBNJ,"BBNJ, Article 12(6)",Contracting Party,"Duty: Must ensure samples/DSI in repositories or databases under their jurisdiction can be identified as originating from ABNJ, in accordance with current international practice and to the extent practicable.",Stakeholders,"“Parties shall ensure that samples of marine genetic resources and digital sequence information on marine genetic resources of areas beyond national jurisdiction that are in repositories or databases under their jurisdiction can be identified as originating from areas beyond national jurisdiction, in accordance with current international practice and to the extent practicable.”"
BBNJ_M037,BBNJ,"BBNJ, Article 12(8)(a)",Contracting Party,"Duty: Must ensure notification (as soon as available) of where results of utilization (e.g., publications; patents granted, if available and to the extent possible; products developed) can be found, including the “BBNJ” identifier if available.",Clearing-House,"“Where marine genetic resources of areas beyond national jurisdiction, and where practicable, the digital sequence information on such resources are subject to utilization, including commercialization, by natural or juridical persons under their jurisdiction, Parties shall ensure that the following information, including the ‘BBNJ’ standardized batch identifier, if available, be notified to the Clearing-House Mechanism as soon as such information becomes available: (a) Where the results of the utilization, such as publications, patents granted, if available and to the extent possible, and products developed, can be found;”"
BBNJ_M038,BBNJ,"BBNJ, Article 12(8)(b)",Contracting Party,Duty: Must ensure notification of details of the post-collection notification related to utilized MGR.,Clearing-House,"“(b) Where available, details of the post-collection notification to the Clearing-House Mechanism related to the marine genetic resources that were the subject of utilization;”"
BBNJ_M039,BBNJ,"BBNJ, Article 12(8)(c)",Contracting Party,Duty: Must ensure notification of where the original MGR sample is held.,Clearing-House,“(c) Where the original sample that is the subject of utilization is held;”
BBNJ_M040,BBNJ,"BBNJ, Article 12(8)(d)",Contracting Party,Duty: Must ensure notification of access modalities for MGR/DSI being utilized and a data management plan for the same.,Clearing-House,"“(d) The modalities envisaged for access to marine genetic resources and digital sequence information on marine genetic resources being utilized, and a data management plan for the same;”"
BBNJ_M043,BBNJ,"BBNJ, Article 14(1)",Contracting Party,Duty: Must ensure benefits from utilization of MGR/DSI of ABNJ are shared fairly and equitably in accordance with this Part.,Concerned Parties,“1. The benefits arising from activities with respect to marine genetic resources and digital sequence information on marine genetic resources of areas beyond national jurisdiction shall be shared in a fair and equitable manner in accordance with this Part and contribute to the conservation and sustainable use of marine biological diversity of areas beyond national jurisdiction.”
BBNJ_M044,BBNJ,"BBNJ, Article 14(2)",Contracting Party,"Duty: Must share non-monetary benefits in the forms listed (e.g., access to samples/DSI, FAIR data, technology transfer, capacity-building).",Concerned Parties,"“2. Non-monetary benefits shall be shared in accordance with this Agreement in the form of, inter alia: (a) Access to samples and sample collections in accordance with current international practice; (b) Access to digital sequence information in accordance with current international practice; (c) Open access to findable, accessible, interoperable and reusable (FAIR) scientific data in accordance with current international practice and open and responsible data governance; (d) Information contained in the notifications, along with “BBNJ” standardized batch identifiers, provided in accordance with article 12, in publicly searchable and accessible forms; (f) Capacity-building, including by financing research programmes, and partnership opportunities, particularly directly relevant and substantial ones, for scientists and researchers in research projects, as well as dedicated initiatives, in particular for developing States, taking into account the special circumstances of small island developing States and of least developed countries; (g) Increased technical and scientific cooperation, in particular with scientists from and scientific institutions in developing States; (h) Other forms of benefits as determined by the Conference of the Parties, taking into account recommendations of the access and benefit-sharing committee established under article 15.”"
BBNJ_M045,BBNJ,"BBNJ, Article 14(3)",Contracting Party,Duty: Must ensure MGR/DSI subject to utilization are deposited in publicly accessible repositories/databases within timelines set.,Stakeholders,"“3. Parties shall take the necessary legislative, administrative or policy measures to ensure that marine genetic resources and digital sequence information on marine genetic resources of areas beyond national jurisdiction, together with their “BBNJ” standardized batch identifiers, subject to utilization by natural or juridical persons under their jurisdiction are deposited in publicly accessible repositories and databases, maintained either nationally or internationally, no later than three years from the start of such utilization, or as soon as they become available, taking into account current international practice.”"
BBNJ_M046,BBNJ,"BBNJ, Article 14(4)",Contracting Party,Liberty: May subject access to MGR/DSI in repositories/databases under its jurisdiction to reasonable conditions.,Researchers,"“4. Access to marine genetic resources and digital sequence information on marine genetic resources of areas beyond national jurisdiction in the repositories and databases under a Party’s jurisdiction may be subject to reasonable conditions, as follows: (a) The need to preserve the physical integrity of marine genetic resources; (b) The reasonable costs associated with maintaining the relevant gene bank, biorepository or database in which the sample, data or information is held; (c) The reasonable costs associated with providing access to the marine genetic resource, data or information; (d) Other reasonable conditions in line with the objectives of this Agreement; and opportunities for such access on fair and most favourable terms, including on concessional and preferential terms, may be provided to researchers and research institutions from developing States.”"
BBNJ_M047,BBNJ,"BBNJ, Article 14(5)",Contracting Party,Duty: Must share monetary benefits fairly and equitably through the financial mechanism under Article 52.,Concerned Parties,"“5. Monetary benefits from the utilization of marine genetic resources and digital sequence information on marine genetic resources of areas beyond national jurisdiction, including commercialization, shall be shared fairly and equitably, through the financial mechanism established under article 52, for the conservation and sustainable use of marine biological diversity of areas beyond national jurisdiction.”"
BBNJ_M049,BBNJ,"BBNJ, Article 14(7)",COP,Power: May decide modalities for sharing monetary benefits (3/4 majority if consensus fails).,Contracting Party,"“7. The Conference of the Parties shall decide on the modalities for the sharing of monetary benefits from the utilization of marine genetic resources and digital sequence information on marine genetic resources of areas beyond national jurisdiction, taking into account the recommendations of the access and benefit-sharing committee established under article 15. If all efforts to reach consensus have been exhausted, a decision shall be adopted by a three-fourths majority of the Parties present and voting. The payments shall be made through the special fund established under article 52. The modalities may include the following: (a) Milestone payments; (b) Payments or contributions related to the commercialization of products, including payment of a percentage of the revenue from sales of products; (c) A tiered fee, paid on a periodic basis, based on a diversified set of indicators measuring the aggregate level of activities by a Party; (d) Other forms as decided by the Conference of the Parties, taking into account recommendations of the access and benefit-sharing committee.”"
BBNJ_M050,BBNJ,"BBNJ, Article 14(8)",Contracting Party,Power: May declare that adopted modalities shall not take effect for up to four years for that Party.,COP,"“8. A Party may make a declaration at the time the Conference of the Parties adopts the modalities stating that those modalities shall not take effect for that Party for a period of up to four years, in order to allow time for necessary implementation. A Party that makes such a declaration shall continue to make the payment set out in paragraph 6 above until the new modalities take effect.”"
