model,question_number,conclusion,metric,precision,recall,f1,gold_size,pred_size
google/gemini-3.1-pro-preview,Q4,C2,rules_selected,0.333333333333333,0.181818181818182,0.235294117647059,11,6
google/gemini-3.1-pro-preview,Q4,C2,edges_support,0.25,0.125,0.166666666666667,16,8
google/gemini-3.1-pro-preview,Q5,C1,rules_selected,1,0.428571428571429,0.6,14,6
google/gemini-3.1-pro-preview,Q5,C1,edges_support,0,0,0,24,7
google/gemini-3.1-pro-preview,Q5,C2,rules_selected,1,0.214285714285714,0.352941176470588,14,3
google/gemini-3.1-pro-preview,Q5,C2,edges_support,1,0.125,0.222222222222222,24,3
google/gemini-2.5-pro,Q1,C1,rules_selected,0.833333333333333,0.833333333333333,0.833333333333333,6,6
google/gemini-2.5-pro,Q1,C1,edges_support,0.454545454545455,0.5,0.476190476190476,10,11
google/gemini-2.5-pro,Q1,C2,rules_selected,0.666666666666667,0.8,0.727272727272727,5,6
google/gemini-2.5-pro,Q1,C2,edges_support,0.5,0.8,0.615384615384615,5,8
google/gemini-2.5-pro,Q2,C1,rules_selected,1,0.363636363636364,0.533333333333333,11,4
google/gemini-2.5-pro,Q2,C1,edges_support,0.571428571428571,0.25,0.347826086956522,16,7
google/gemini-2.5-pro,Q2,C2,rules_selected,1,0.363636363636364,0.533333333333333,11,4
google/gemini-2.5-pro,Q2,C2,edges_support,0.5,0.272727272727273,0.352941176470588,11,6
google/gemini-2.5-pro,Q3,C1,rules_selected,1,0.4,0.571428571428571,15,6
google/gemini-2.5-pro,Q3,C1,edges_support,0.6,0.230769230769231,0.333333333333333,26,10
google/gemini-2.5-pro,Q3,C2,rules_selected,0.833333333333333,0.714285714285714,0.769230769230769,7,6
google/gemini-2.5-pro,Q3,C2,edges_support,0.7,0.636363636363636,0.666666666666667,11,10
google/gemini-2.5-pro,Q4,C1,rules_selected,1,0.333333333333333,0.5,18,6
google/gemini-2.5-pro,Q4,C1,edges_support,0.666666666666667,0.230769230769231,0.342857142857143,26,9
google/gemini-2.5-pro,Q4,C2,rules_selected,0.6,0.272727272727273,0.375,11,5
google/gemini-2.5-pro,Q4,C2,edges_support,0.5,0.1875,0.272727272727273,16,6
google/gemini-2.5-pro,Q5,C1,rules_selected,1,0.428571428571429,0.6,14,6
google/gemini-2.5-pro,Q5,C1,edges_support,0,0,0,24,8
google/gemini-2.5-pro,Q5,C2,rules_selected,1,0.357142857142857,0.526315789473684,14,5
google/gemini-2.5-pro,Q5,C2,edges_support,0.714285714285714,0.208333333333333,0.32258064516129,24,7
openai/gpt-5.4,Q1,C1,rules_selected,1,0.666666666666667,0.8,6,4
openai/gpt-5.4,Q1,C1,edges_support,0.571428571428571,0.4,0.470588235294118,10,7
openai/gpt-5.4,Q1,C2,rules_selected,0.75,0.6,0.666666666666667,5,4
openai/gpt-5.4,Q1,C2,edges_support,0.428571428571429,0.6,0.5,5,7
openai/gpt-5.4,Q2,C1,rules_selected,1,0.454545454545455,0.625,11,5
openai/gpt-5.4,Q2,C1,edges_support,0.625,0.3125,0.416666666666667,16,8
openai/gpt-5.4,Q2,C2,rules_selected,1,0.545454545454545,0.705882352941176,11,6
openai/gpt-5.4,Q2,C2,edges_support,0.666666666666667,0.545454545454545,0.6,11,9
openai/gpt-5.4,Q3,C1,rules_selected,1,0.4,0.571428571428571,15,6
openai/gpt-5.4,Q3,C1,edges_support,0.545454545454545,0.230769230769231,0.324324324324324,26,11
openai/gpt-5.4,Q3,C2,rules_selected,0.75,0.857142857142857,0.8,7,8
openai/gpt-5.4,Q3,C2,edges_support,0.6,0.818181818181818,0.692307692307692,11,15
openai/gpt-5.4,Q4,C1,rules_selected,0.909090909090909,0.555555555555556,0.689655172413793,18,11
openai/gpt-5.4,Q4,C1,edges_support,0.588235294117647,0.384615384615385,0.465116279069767,26,17
openai/gpt-5.4,Q4,C2,rules_selected,0.538461538461538,0.636363636363636,0.583333333333333,11,13
openai/gpt-5.4,Q4,C2,edges_support,0.35,0.4375,0.388888888888889,16,20
openai/gpt-5.4,Q5,C1,rules_selected,1,0.714285714285714,0.833333333333333,14,10
openai/gpt-5.4,Q5,C1,edges_support,0,0,0,24,17
openai/gpt-5.4,Q5,C2,rules_selected,1,0.5,0.666666666666667,14,7
openai/gpt-5.4,Q5,C2,edges_support,0.636363636363636,0.291666666666667,0.4,24,11
moonshotai/kimi-k2.5,Q1,C1,rules_selected,1,0.833333333333333,0.909090909090909,6,5
moonshotai/kimi-k2.5,Q1,C1,edges_support,0.555555555555556,0.5,0.526315789473684,10,9
moonshotai/kimi-k2.5,Q1,C2,rules_selected,0.8,0.8,0.8,5,5
moonshotai/kimi-k2.5,Q1,C2,edges_support,0.5,0.8,0.615384615384615,5,8
moonshotai/kimi-k2.5,Q2,C1,rules_selected,1,0.727272727272727,0.842105263157895,11,8
moonshotai/kimi-k2.5,Q2,C1,edges_support,0.6,0.5625,0.580645161290323,16,15
moonshotai/kimi-k2.5,Q2,C2,rules_selected,1,0.727272727272727,0.842105263157895,11,8
moonshotai/kimi-k2.5,Q2,C2,edges_support,0.466666666666667,0.636363636363636,0.538461538461538,11,15
moonshotai/kimi-k2.5,Q3,C1,rules_selected,1,0.6,0.75,15,9
moonshotai/kimi-k2.5,Q3,C1,edges_support,0.5625,0.346153846153846,0.428571428571429,26,16
moonshotai/kimi-k2.5,Q3,C2,rules_selected,0.857142857142857,0.857142857142857,0.857142857142857,7,7
moonshotai/kimi-k2.5,Q3,C2,edges_support,0.75,0.818181818181818,0.782608695652174,11,12
moonshotai/kimi-k2.5,Q4,C1,rules_selected,0.875,0.388888888888889,0.538461538461539,18,8
moonshotai/kimi-k2.5,Q4,C1,edges_support,0.538461538461538,0.269230769230769,0.358974358974359,26,13
moonshotai/kimi-k2.5,Q4,C2,rules_selected,0.5,0.454545454545455,0.476190476190476,11,10
moonshotai/kimi-k2.5,Q4,C2,edges_support,0.357142857142857,0.3125,0.333333333333333,16,14
moonshotai/kimi-k2.5,Q5,C1,rules_selected,1,0.785714285714286,0.88,14,11
moonshotai/kimi-k2.5,Q5,C1,edges_support,0.19047619047619,0.166666666666667,0.177777777777778,24,21
moonshotai/kimi-k2.5,Q5,C2,rules_selected,1,0.5,0.666666666666667,14,7
moonshotai/kimi-k2.5,Q5,C2,edges_support,0.666666666666667,0.333333333333333,0.444444444444444,24,12
